BRT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2012-11-20,30,26,22,21,19,17,88,74,48,1016,1012,1010,19,11,10,23,16,,0.76,4,,274
2012-11-21,26,22,18,19,18,15,94,72,46,1018,1015,1013,19,12,10,24,11,,0.00,2,,136
2012-11-22,28,23,19,20,19,18,94,74,49,1017,1014,1010,19,11,10,24,11,45,0.00,2,,336
2012-11-23,29,26,22,22,21,20,100,78,65,1013,1009,1007,19,10,10,29,18,,0.00,4,Rain,330
2012-11-24,29,26,21,22,20,17,94,81,58,1015,1010,1007,19,11,7,34,16,48,0.25,5,Rain,276
2012-11-25,24,21,17,17,14,13,88,65,42,1020,1017,1014,19,12,10,27,21,48,0.00,4,,169
2012-11-26,26,21,15,18,16,14,94,69,44,1020,1017,1014,19,12,10,27,10,,0.00,2,,316
2012-11-27,26,23,20,21,19,18,94,76,59,1015,1011,1005,19,11,10,26,14,,1.02,4,Rain,328
2012-11-28,29,24,18,20,18,15,94,69,42,1012,1008,1005,19,12,10,23,11,,0.00,2,,215
2012-11-29,28,23,18,22,19,16,94,76,45,1017,1014,1011,19,12,10,23,8,,0.00,2,,123
2012-11-30,26,23,21,22,21,19,94,79,59,1019,1017,1016,19,11,10,23,10,,0.00,4,,5
2012-12-1,28,25,22,22,21,20,100,77,56,1016,1014,1011,19,11,5,27,18,,4.06,4,Rain-Thunderstorm,350
2012-12-2,26,24,22,23,22,21,94,88,74,1014,1012,1010,19,10,3,27,14,,0.51,4,Rain-Thunderstorm,164
2012-12-3,29,26,21,22,22,21,100,81,55,1014,1013,1011,19,11,10,26,8,37,0.00,4,,339
