rise,set
06:12,  19:48
06:12,  19:49
06:12,  19:49
06:12,  19:50
06:11,  19:51
06:11,  19:52
06:11,  19:53
06:11,  19:53
06:11,  19:54
06:11,  19:55
06:11,  19:56
06:11,  19:56
06:11,  19:57
06:11,  19:58
06:11,  19:59
06:11,  19:59
06:11,  20:00
06:11,  20:01
06:11,  20:01
06:12,  20:02
06:12,  20:03
06:12,  20:04
06:12,  20:04
06:13,  20:05
06:13,  20:05
06:13,  20:06
06:14,  20:07
06:14,  20:07
06:14,  20:08
06:15,  20:08
06:15,  20:09
06:16,  20:09
06:16,  20:10
06:17,  20:10
06:17,  20:11
06:18,  20:11
06:19,  20:11
06:19,  20:12
06:20,  20:12
06:20,  20:13
06:21,  20:13
06:22,  20:13
06:22,  20:13
06:23,  20:14
06:24,  20:14
06:25,  20:14
06:25,  20:14
06:26,  20:14
06:27,  20:14
06:28,  20:14
06:28,  20:14
06:29,  20:14
06:30,  20:14
06:31,  20:14
06:31,  20:14
06:32,  20:14
06:33,  20:14
06:34,  20:14
06:35,  20:14
06:36,  20:14
06:36,  20:13
06:37,  20:13
06:38,  20:13
06:39,  20:13
06:40,  20:12
06:40,  20:12
06:41,  20:12
06:42,  20:11
06:43,  20:11
06:44,  20:10
06:45,  20:10
06:45,  20:09
06:46,  20:09
06:47,  20:08
06:48,  20:08
06:49,  20:07
06:49,  20:06
06:50,  20:06
06:51,  20:05
06:52,  20:05
06:52,  20:04
06:53,  20:03
06:54,  20:02
06:55,  20:02
06:55,  20:01
06:56,  20:00
06:57,  19:59
06:58,  19:58
06:58,  19:58
e:,ift because
05:59,  18:57
06:00,  18:56
06:00,  18:55
06:01,  18:54
06:02,  18:53
06:03,  18:52
06:03,  18:51
06:04,  18:50
06:04,  18:49
06:05,  18:48
06:06,  18:47
06:06,18:46
06:07,18:45
06:08,18:44
06:08,18:43
06:09,18:42
06:09,18:41
06:10,18:40
06:11,18:39
06:11,18:38
06:12,18:37
06:12,18:36
06:13,18:35
06:13,18:34
06:14,18:33
06:15,18:32
06:15,18:30
06:16,18:29
06:16,18:28
06:17,18:27
06:17,18:26
06:18,18:25
06:18,18:24
06:19,18:23
06:19,18:22
06:20,18:20
06:20,18:19
06:21,18:18
06:21,18:17
06:22,18:16
06:23,18:15
06:23,18:14
06:24,18:13
06:24,18:11
06:25,18:10
06:25,18:09
06:26,18:08
06:26,18:07
06:27,18:06
06:27,18:05
06:28,18:04
06:28,18:03
06:29,18:02
06:29,18:01
06:30,18:00
06:30,17:59
06:31,17:58
06:31,17:57
06:32,17:56
06:32,17:55
06:33,17:54
06:33,17:53
06:34,17:52
06:34,17:51
06:35,17:50
06:36,17:49
06:36,17:48
06:37,17:47
06:37,17:46
06:38,17:45
06:38,17:45
06:39,17:44
06:39,17:43
06:40,17:42
06:41,17:41
06:41,17:41
06:42,17:40
06:42,17:39
06:43,17:38
06:43,17:38
06:44,17:37
06:44,17:36
06:45,17:36
06:46,17:35
06:46,17:35
06:47,17:34
06:47,17:33
06:48,17:33
06:48,17:32
06:49,17:32
06:50,17:31
06:50,17:31
06:51,17:31
06:51,17:30
06:52,17:30
06:52,17:29
06:53,17:29
06:53,17:29
06:54,17:28
06:54,17:28
06:55,17:28
06:55,17:28
06:56,17:27
06:56,17:27
06:57,17:27
06:57,17:27
06:58,17:27
06:58,17:27
06:59,17:27
06:59,17:27
07:00,17:26
07:00,17:26
07:00,17:26
07:01,17:26
07:01,17:26
07:02,17:27
07:02,17:27
07:02,17:27
07:03,17:27
07:03,17:27
07:03,17:27
07:03,17:27
07:04,17:27
07:04,17:28
07:04,17:28
07:04,17:28
07:05,17:28
07:05,17:29
07:05,17:29
07:05,17:29
07:05,17:30
07:05,17:30
07:05,17:30
07:05,17:31
07:05,17:31
07:05,17:31
07:05,17:32
07:05,17:32
07:05,17:32
07:05,17:33
07:05,17:33
07:05,17:34
07:05,17:34
07:05,17:35
07:04,17:35
07:04,17:36
07:04,17:36
07:04,17:37
07:04,17:37
07:03,17:38
07:03,17:38
07:03,17:39
07:02,17:39
07:02,17:40
07:01,17:40
07:01,17:41
07:00,17:41
07:00,17:42
07:00,17:42
06:59,17:43
06:58,17:43
06:58,17:44
06:57,17:44
06:57,17:45
06:56,17:45
06:55,17:46
06:55,17:46
06:54,17:47
06:53,17:47
06:53,17:48
06:52,17:48
06:51,17:49
06:50,17:49
06:50,17:50
06:49,17:50
06:48,17:51
06:47,17:51
06:46,17:52
06:45,17:52
06:45,17:53
06:44,17:53
06:43,17:54
06:42,17:54
06:41,17:55
06:40,17:55
06:39,17:56
06:38,17:56
06:37,17:57
06:36,17:57
06:35,17:58
06:34,17:58
06:33,17:59
06:32,17:59
06:31,18:00
06:30,18:00
06:29,18:01
06:28,18:01
06:26,18:01
06:25,18:02
06:24,18:02
06:23,18:03
06:22,18:03
06:21,18:04
06:20,18:04
06:19,18:05
