rise,set
06:18,20:03
06:18,20:04
06:18,20:05
06:17,20:06
06:17,20:07
06:17,20:08
06:17,20:08
06:17,20:09
06:16,20:10
06:16,20:11
06:16,20:12
06:16,20:12
06:16,20:13
06:16,20:14
06:16,20:15
06:16,20:16
06:16,20:16
06:16,20:17
06:16,20:18
06:17,20:19
06:17,20:19
06:17,20:20
06:17,20:21
06:18,20:21
06:18,20:22
06:18,20:23
06:19,20:23
06:19,20:24
06:19,20:24
06:20,20:25
06:20,20:25
06:21,20:26
06:21,20:26
06:22,20:27
06:22,20:27
06:23,20:28
06:24,20:28
06:24,20:28
06:25,20:29
06:25,20:29
06:26,20:29
06:27,20:29
06:27,20:30
06:28,20:30
06:29,20:30
06:30,20:30
06:30,20:30
06:31,20:30
06:32,20:30
06:33,20:31
06:34,20:31
06:34,20:30
06:35,20:30
06:36,20:30
06:37,20:30
06:38,20:30
06:39,20:30
06:40,20:30
06:40,20:30
06:41,20:29
06:42,20:29
06:43,20:29
06:44,20:28
06:45,20:28
06:46,20:28
06:47,20:27
06:47,20:27
06:48,20:26
06:49,20:26
06:50,20:25
06:51,20:25
06:52,20:24
06:53,20:24
06:54,20:23
06:55,20:22
06:55,20:22
06:56,20:21
06:57,20:20
06:58,20:20
06:59,20:19
07:00,20:18
07:01,20:17
07:01,20:16
07:02,20:16
07:03,20:15
07:04,20:14
07:05,20:13
07:05,20:12
07:06,20:11
e:,ks change
06:07,19:10
06:08,19:09
06:09,19:08
06:09,19:07
06:10,19:06
06:11,19:05
06:12,19:04
06:12,19:03
06:13,19:02
06:14,19:01
06:15,19:00
06:15,18:59
06:16,18:58
06:17,18:57
06:17,18:56
06:18,18:55
06:19,18:53
06:19,18:52
06:20,18:51
06:21,18:50
06:21,18:49
06:22,18:48
06:23,18:46
06:23,18:45
06:24,18:44
06:25,18:43
06:25,18:42
06:26,18:40
06:27,18:39
06:27,18:38
06:28,18:37
06:28,18:36
06:29,18:34
06:30,18:33
06:30,18:32
06:31,18:31
06:32,18:30
06:32,18:28
06:33,18:27
06:33,18:26
06:34,18:25
06:35,18:24
06:35,18:22
06:36,18:21
06:36,18:20
06:37,18:19
06:38,18:18
06:38,18:16
06:39,18:15
06:39,18:14
06:40,18:13
06:41,18:12
06:41,18:11
06:42,18:10
06:42,18:08
06:43,18:07
06:44,18:06
06:44,18:05
06:45,18:04
06:45,18:03
06:46,18:02
06:47,18:01
06:47,18:00
06:48,17:59
06:48,17:58
06:49,17:57
06:50,17:56
06:50,17:55
06:51,17:54
06:52,17:53
06:52,17:52
06:53,17:51
06:53,17:50
06:54,17:49
06:55,17:49
06:55,17:48
06:56,17:47
06:57,17:46
06:57,17:45
06:58,17:45
06:58,17:44
06:59,17:43
07:00,17:43
07:00,17:42
07:01,17:41
07:02,17:41
07:02,17:40
07:03,17:39
07:04,17:39
07:04,17:38
07:05,17:38
07:05,17:37
07:06,17:37
07:07,17:36
07:07,17:36
07:08,17:35
07:08,17:35
07:09,17:35
07:10,17:34
07:10,17:34
07:11,17:34
07:11,17:33
07:12,17:33
07:12,17:33
07:13,17:33
07:13,17:32
07:14,17:32
07:14,17:32
07:15,17:32
07:15,17:32
07:16,17:32
07:16,17:32
07:17,17:32
07:17,17:32
07:17,17:32
07:18,17:32
07:18,17:32
07:18,17:32
07:19,17:32
07:19,17:32
07:19,17:32
07:20,17:32
07:20,17:33
07:20,17:33
07:20,17:33
07:21,17:33
07:21,17:34
07:21,17:34
07:21,17:34
07:21,17:34
07:21,17:35
07:21,17:35
07:21,17:35
07:22,17:36
07:22,17:36
07:22,17:37
07:21,17:37
07:21,17:37
07:21,17:38
07:21,17:38
07:21,17:39
07:21,17:39
07:21,17:40
07:21,17:40
07:20,17:41
07:20,17:41
07:20,17:42
07:20,17:42
07:19,17:43
07:19,17:43
07:19,17:44
07:18,17:44
07:18,17:45
07:17,17:46
07:17,17:46
07:16,17:47
07:16,17:47
07:15,17:48
07:15,17:48
07:14,17:49
07:14,17:50
07:13,17:50
07:12,17:51
07:12,17:51
07:11,17:52
07:10,17:52
07:09,17:53
07:09,17:54
07:08,17:54
07:07,17:55
07:06,17:55
07:06,17:56
07:05,17:57
07:04,17:57
07:03,17:58
07:02,17:58
07:01,17:59
07:00,18:00
06:59,18:00
06:58,18:01
06:57,18:01
06:56,18:02
06:55,18:02
06:54,18:03
06:53,18:03
06:52,18:04
06:51,18:05
06:50,18:05
06:49,18:06
06:48,18:06
06:47,18:07
06:46,18:07
06:45,18:08
06:43,18:08
06:42,18:09
06:41,18:09
06:40,18:10
06:39,18:11
06:38,18:11
06:36,18:12
06:35,18:12
06:34,18:13
06:33,18:13
06:32,18:14
06:30,18:14
