rise,set
06:41,18:10
06:39,18:10
06:38,18:11
06:37,18:11
06:36,18:12
06:35,18:12
06:33,18:13
06:32,18:14
06:31,18:14
06:30,18:15
06:29,18:15
06:27,18:16
06:26,18:16
06:25,18:17
06:24,18:17
06:22,18:18
06:21,18:18
06:20,18:19
06:19,18:19
06:17,18:20
06:16,18:20
06:15,18:21
06:14,18:22
06:12,18:22
06:11,18:23
06:10,18:23
06:09,18:24
06:07,18:24
06:06,18:25
06:05,18:26
06:04,18:26
06:02,18:27
06:01,18:27
06:00,18:28
05:59,18:28
05:58,18:29
05:56,18:30
05:55,18:30
05:54,18:31
05:53,18:32
05:52,18:32
05:51,18:33
05:49,18:33
05:48,18:34
05:47,18:35
05:46,18:35
05:45,18:36
06:44,19:37
06:43,19:37
06:42,19:38
06:41,19:39
06:40,19:40
06:39,19:40
06:38,19:41
06:37,19:42
06:36,19:42
06:35,19:43
06:34,19:44
06:33,19:45
06:32,19:45
06:31,19:46
