BRST,max_temp,mean_temp,min_temp,orvalho,mean_dew,min_dew,max_humidity,mean_humidity,min_humidity,max_pressure_sea_level,mean_pressure_sea_level,min_pressure_sea_level,max_visibility_km,mean_visibility_km,min_visibility_km,max_wind_speed,mean_wind_speed,max_gust_speed,precipitation,cloud_cover,events,wind_dir_degrees
2015-3-1,29,24,19,20,18,14,94,68,29,1018,1016,1014,19,19,19,26,14,,0.00,,,97
2015-3-2,31,26,20,22,19,17,88,67,38,1016,1014,1012,19,19,19,16,11,,0.00,,,77
2015-3-3,34,28,23,22,21,19,94,69,44,1015,1013,1011,10,10,10,29,10,,0.00,1,,82
2015-3-4,33,28,22,24,22,20,100,76,46,1013,1012,1010,19,9,1,42,11,,27.94,6,Rain-Thunderstorm,42
2015-3-5,28,26,23,25,23,22,100,88,74,1015,1012,1011,19,11,6,19,10,,0.76,4,Rain,242
2015-3-6,29,26,22,22,21,19,100,78,50,1015,1014,1012,19,12,10,24,10,,0.00,5,,145
2015-3-7,28,24,19,20,19,17,94,72,43,1016,1014,1013,19,13,10,27,16,40,0.00,2,,107
2015-3-8,31,26,21,23,22,21,100,81,49,1015,1013,1012,19,11,7,29,14,,0.00,3,Thunderstorm,92
2015-3-9,30,27,23,24,22,21,100,82,49,1014,1013,1012,19,10,4,27,18,,0.51,4,,111
2015-3-10,27,24,23,23,22,20,94,87,74,1014,1013,1012,19,8,3,24,16,,3.05,5,Rain,132
2015-3-11,29,26,22,23,21,19,94,77,51,1012,1011,1010,19,10,3,26,13,,0.00,4,Rain,163
2015-3-12,28,24,20,21,20,18,100,77,46,1013,1011,1010,19,11,10,21,10,,0.00,3,,245
2015-3-13,31,26,21,22,21,20,94,79,44,1013,1011,1009,19,12,8,26,10,,0.00,2,,85
2015-3-14,32,27,21,23,22,21,100,80,44,1013,1011,1009,19,14,10,23,11,,0.00,2,,92
2015-3-15,30,26,22,25,23,22,100,85,60,1014,1012,1010,19,8,0,19,6,,0.00,4,Fog-Thunderstorm,129
2015-3-16,30,27,22,24,21,17,100,74,42,1016,1014,1013,19,11,10,23,13,,0.00,4,,130
2015-3-17,29,23,18,21,18,17,100,74,44,1018,1016,1015,19,12,10,24,10,,0.00,3,,100
2015-3-18,29,23,18,20,18,17,100,73,44,1019,1017,1015,19,13,10,29,14,,0.00,2,,97
2015-3-19,30,24,18,19,18,14,94,69,29,1019,1016,1014,19,19,19,26,13,35,0.00,,,101
2015-3-20,32,25,18,20,19,17,94,69,36,1015,1011,1008,19,11,5,26,10,45,0.00,1,Thunderstorm,336
2015-3-21,26,25,24,24,23,22,94,88,78,1012,1010,1008,19,9,3,23,10,,0.00,6,Rain,357
2015-3-22,12,9,7,8,4,3,93,72,49,1017,1013,1011,26,10,5,29,18,,0.51,7,Rain,31
2015-3-23,17,11,6,8,6,3,87,67,38,1017,1014,1011,31,12,10,16,10,,0.00,7,,61
2015-3-24,16,12,7,11,8,6,100,82,45,1012,1008,1006,19,10,3,19,6,,3.05,7,Rain,38
2015-3-25,10,8,7,10,4,0,97,77,47,1007,1003,1002,31,10,2,35,16,50,6.10,8,Rain,344
2015-3-26,16,10,4,3,1,-1,71,51,25,1014,1009,1006,31,12,10,35,19,47,0.00,8,,347
2015-3-27,18,11,4,3,1,-1,81,48,19,1021,1017,1014,31,11,10,42,19,61,0.00,,,355
2015-3-28,16,13,10,11,4,-1,77,52,25,1017,1015,1013,31,29,26,24,14,,0.00,,,314
2015-3-29,19,12,6,13,8,3,88,71,33,1014,1012,1008,27,11,10,35,8,58,0.00,6,,178
2015-3-30,18,14,11,13,9,3,88,66,33,1010,1007,1004,31,11,10,37,21,60,0.00,,,193
2015-3-31,22,16,10,10,8,3,88,56,35,1021,1019,1016,10,10,10,47,21,71,0.00,5,,301
